water tank volume,angle of sun in degrees,shadow coverage(y)
4516.0,13.0,1.94874012957
31.0,25.0,1.81261557407
1600.0,8.0,1.98053613748
315.0,135.0,1.41421356237
2656.0,115.0,0.845236523481
2569.0,31.0,1.7143346014
2848.0,25.0,1.81261557407
10.0,150.0,1.73205080757
414.0,17.0,1.91260951193
2131.0,76.0,0.483843791199
4390.0,73.0,0.584743409445
4005.0,168.0,1.95629520147
1585.0,137.0,1.46270740324
4396.0,16.0,1.92252339188
2039.0,17.0,1.91260951193
648.0,6.0,1.98904379074
3829.0,43.0,1.46270740324
3757.0,119.0,0.969619240493
57.0,88.0,0.069798993405
3779.0,34.0,1.65807514511
756.0,126.0,1.17557050458
1264.0,20.0,1.87938524157
3115.0,24.0,1.82709091529
2212.0,58.0,1.05983852847
274.0,150.0,1.73205080757
4572.0,102.0,0.415823381636
1088.0,30.0,1.73205080757
2458.0,132.0,1.33826121272
3135.0,14.0,1.94059145255
1428.0,121.0,1.03007614982
489.0,4.0,1.99512810052
2313.0,123.0,1.08927807003
2960.0,177.0,1.99725906951
2115.0,12.0,1.95629520147
248.0,80.0,0.347296355334
124.0,171.0,1.97537668119
4748.0,56.0,1.11838580694
627.0,39.0,1.55429192291
2380.0,169.0,1.9632543669
1286.0,166.0,1.94059145255
4449.0,100.0,0.347296355334
1225.0,66.0,0.813473286152
3825.0,44.0,1.43867960068
1703.0,142.0,1.57602150721
270.0,91.0,0.0349048128746
1837.0,81.0,0.31286893008
961.0,127.0,1.2036300463
1541.0,34.0,1.65807514511
1676.0,57.0,1.08927807003
4566.0,148.0,1.69609619231
1414.0,116.0,0.876742293578
2385.0,176.0,1.99512810052
4679.0,173.0,1.98509230328
2416.0,64.0,0.876742293578
3304.0,166.0,1.94059145255
1918.0,115.0,0.845236523481
4920.0,96.0,0.209056926535
4394.0,43.0,1.46270740324
2.0,120.0,1.0
574.0,153.0,1.78201304838
2645.0,95.0,0.174311485495
712.0,123.0,1.08927807003
1035.0,56.0,1.11838580694
511.0,122.0,1.05983852847
2903.0,51.0,1.2586407821
442.0,47.0,1.36399672012
3725.0,73.0,0.584743409445
1705.0,156.0,1.82709091529
3830.0,157.0,1.8410097069
2778.0,69.0,0.716735899091
907.0,53.0,1.2036300463
2485.0,165.0,1.93185165258
2015.0,22.0,1.85436770913
3027.0,166.0,1.94059145255
4884.0,122.0,1.05983852847
892.0,32.0,1.69609619231
1122.0,89.0,0.0349048128746
2246.0,1.0,1.99969539031
1572.0,86.0,0.139512947488
952.0,103.0,0.449902108688
1482.0,107.0,0.584743409445
2847.0,3.0,1.99725906951
2008.0,141.0,1.55429192291
2702.0,22.0,1.85436770913
1395.0,34.0,1.65807514511
1236.0,73.0,0.584743409445
1395.0,172.0,1.98053613748
4715.0,122.0,1.05983852847
1705.0,91.0,0.0349048128746
2514.0,171.0,1.97537668119
4335.0,145.0,1.63830408858
3651.0,61.0,0.969619240493
3649.0,147.0,1.67734113589
4281.0,149.0,1.7143346014
4815.0,46.0,1.38931674092
4037.0,101.0,0.381617990753
452.0,6.0,1.98904379074
1400.0,95.0,0.174311485495
4000.0,40.0,1.53208888624
3815.0,133.0,1.36399672012
1036.0,157.0,1.8410097069
1649.0,179.0,1.99969539031
4004.0,123.0,1.08927807003
3115.0,41.0,1.50941916045
417.0,80.0,0.347296355334
966.0,76.0,0.483843791199
69.0,168.0,1.95629520147
4817.0,47.0,1.36399672012
2581.0,164.0,1.92252339188
4932.0,21.0,1.86716085299
2996.0,91.0,0.0349048128746
986.0,39.0,1.55429192291
3882.0,50.0,1.28557521937
408.0,132.0,1.33826121272
3438.0,9.0,1.97537668119
1135.0,170.0,1.96961550602
2250.0,7.0,1.98509230328
2763.0,71.0,0.651136308914
4556.0,54.0,1.17557050458
1275.0,34.0,1.65807514511
522.0,93.0,0.104671912486
2518.0,45.0,1.41421356237
1369.0,129.0,1.2586407821
3514.0,22.0,1.85436770913
4468.0,36.0,1.61803398875
4904.0,21.0,1.86716085299
19.0,24.0,1.82709091529
3588.0,89.0,0.0349048128746
4128.0,10.0,1.96961550602
1163.0,147.0,1.67734113589
717.0,7.0,1.98509230328
1277.0,155.0,1.81261557407
2730.0,131.0,1.31211805798
4934.0,145.0,1.63830408858
1452.0,56.0,1.11838580694
2599.0,78.0,0.415823381636
2868.0,48.0,1.33826121272
3086.0,168.0,1.95629520147
468.0,91.0,0.0349048128746
2258.0,55.0,1.1471528727
1256.0,123.0,1.08927807003
1130.0,64.0,0.876742293578
3140.0,112.0,0.749213186832
1118.0,83.0,0.24373868681
499.0,23.0,1.8410097069
1779.0,148.0,1.69609619231
718.0,126.0,1.17557050458
4260.0,98.0,0.27834620192
533.0,81.0,0.31286893008
1623.0,36.0,1.61803398875
1792.0,137.0,1.46270740324
1343.0,129.0,1.2586407821
4024.0,121.0,1.03007614982
4314.0,137.0,1.46270740324
209.0,172.0,1.98053613748
1033.0,74.0,0.551274711634
2028.0,93.0,0.104671912486
4522.0,55.0,1.1471528727
91.0,91.0,0.0349048128746
3634.0,57.0,1.08927807003
396.0,156.0,1.82709091529
4749.0,34.0,1.65807514511
2189.0,0.0,2.0
4987.0,119.0,0.969619240493
2899.0,125.0,1.1471528727
2973.0,11.0,1.9632543669
2211.0,94.0,0.139512947488
3579.0,19.0,1.8910371512
2164.0,29.0,1.74923941428
2713.0,98.0,0.27834620192
371.0,54.0,1.17557050458
3720.0,109.0,0.651136308914
3122.0,65.0,0.845236523481
138.0,117.0,0.907980999479
89.0,29.0,1.74923941428
2825.0,67.0,0.781462256979
3683.0,53.0,1.2036300463
1660.0,123.0,1.08927807003
677.0,114.0,0.813473286152
3343.0,47.0,1.36399672012
2362.0,42.0,1.48628965095
644.0,6.0,1.98904379074
4082.0,150.0,1.73205080757
3616.0,6.0,1.98904379074
3135.0,65.0,0.845236523481
3012.0,131.0,1.31211805798
4395.0,108.0,0.61803398875
3835.0,78.0,0.415823381636
1242.0,158.0,1.85436770913
1586.0,177.0,1.99725906951
2209.0,137.0,1.46270740324
334.0,41.0,1.50941916045
4342.0,49.0,1.31211805798
263.0,168.0,1.95629520147
96.0,126.0,1.17557050458
158.0,97.0,0.24373868681
4446.0,111.0,0.716735899091
2870.0,123.0,1.08927807003
4399.0,6.0,1.98904379074
741.0,61.0,0.969619240493
