Owner-description,size,rating,price(y)
Sophia-vintage,0.594760915,1.852138638,52.44689955
Jackson-damaged,0.076478259,2.20677175,-47.71674999
Emma-damaged,0.276560506,3.070271387,-46.65316811
Aiden,3.203152936,0.01651154,3.219664476
Olivia,0.053321904,2.493773362,2.547095265
Lucas-damaged,2.029166529,0.654555309,-47.31627816
Ava,2.512027955,4.731190859,7.243218814
Liam,3.1062246,1.940176876,5.046401476
Mia,0.426504833,3.774304229,4.200809062
Noah-damaged,3.627982574,2.151602518,-44.22041491
Isabella,0.032008393,4.419912364,4.451920757
Ethan-vintage,1.305134836,2.416426589,53.72156142
Riley,3.884197745,0.896960212,4.781157957
Mason,3.770964385,2.777237055,6.54820144
Aria-vintage,1.152226107,1.544525755,52.69675186
Caden-damaged,0.43797899,3.093408409,-46.4686126
Zoe,1.841204851,2.070974754,3.912179605
Oliver-damaged,0.159256726,4.812092263,-45.02865101
Charlotte,1.368779544,4.203183391,5.571962934
Elijah-vintage,1.636449637,2.973896614,54.61034625
Lily,0.587714228,1.48787673,2.075590959
Grayson,2.323480482,2.513065153,4.836545635
Layla-vintage,2.988371011,3.538662083,56.52703309
Jacob-vintage,0.055093608,4.089434941,54.14452855
Amelia,0.232818265,4.584185428,4.817003693
Michael-vintage,1.72032222,0.456635382,52.1769576
Emily-vintage,0.52719883,4.605869138,55.13306797
Benjamin-vintage,2.847321525,4.350923274,57.1982448
Madelyn-damaged,0.263036559,0.535952394,-49.20101105
Carter-damaged,0.369767679,2.816070113,-46.81416221
Aubrey-vintage,3.751163005,2.475841883,56.22700489
James,0.218602407,4.386389358,4.604991765
Adalyn-vintage,0.955531713,3.307335652,54.26286736
Jayden-damaged,3.365139625,2.482470281,-44.15239009
Madison-vintage,1.682890615,0.120268333,51.80315895
Logan,1.524942446,4.26432816,5.789270605
Chloe,0.373871803,3.194424278,3.568296081
Alexander,0.673509956,3.784941017,4.458450972
Harper-vintage,1.834911852,2.433323918,54.26823577
Caleb-vintage,2.175686903,3.532768951,55.70845585
Abigail,3.216510002,2.708366624,5.924876627
Ryan-damaged,0.63380391,3.866175896,-45.50002019
Aaliyah-damaged,1.909078292,2.882303997,-45.20861771
Luke,1.732752224,4.56737427,6.300126494
Avery-vintage,1.408076782,0.59485189,52.00292867
Daniel-damaged,0.424160664,1.798302242,-47.77753709
Evelyn-vintage,0.350073288,4.856834868,55.20690816
Jack,1.902853236,3.648749332,5.551602569
Kaylee-vintage,2.518533234,4.135773058,56.65430629
William,3.802805965,3.185397658,6.988203623
Ella,0.735263443,0.302822966,1.038086409
Owen-vintage,2.408206076,2.695684974,55.10389105
Ellie,0.17258835,1.428463835,1.601052185
Gabriel,1.309155459,3.117297415,4.426452874
Scarlett-vintage,2.618218919,3.737427978,56.3556469
Matthew-vintage,1.311012156,2.780808134,54.09182029
Arianna-damaged,1.573872705,3.733120488,-44.69300681
Connor-vintage,3.140767109,4.473509032,57.61427614
Hailey,2.702622407,0.507939715,3.210562122
Jayce-vintage,2.006190935,2.095259575,54.10145051
Nora-damaged,3.079581685,3.738812245,-43.18160607
Isaac,3.870272244,3.817284977,7.687557221
Addison-damaged,1.605305966,2.966032379,-45.42866165
Sebastian,1.220753951,2.983877351,4.204631303
Brooklyn-damaged,3.709851314,1.607254393,-44.68289429
Henry,2.824513577,2.791326041,5.615839618
Hannah,0.253005651,2.380749995,2.633755645
Muhammad-damaged,3.048065426,3.388887949,-43.56304662
Mila,2.197301294,1.121242122,3.318543416
Cameron,2.630065724,2.863719998,5.493785722
Leah,0.826625374,1.054295981,1.880921355
Wyatt,2.488886123,0.781130141,3.270016264
Elizabeth,3.832161482,1.079467487,4.911628969
Dylan-damaged,0.326064119,2.033071623,-47.64086426
Sarah-damaged,2.797578121,2.117030454,-45.08539142
Nathan,0.066227427,1.093566376,1.159793803
Eliana-damaged,3.555255138,1.852181554,-44.59256331
Nicholas,0.780898294,3.07554628,3.856444574
Mackenzie-vintage,1.831433014,3.382755396,55.21418841
Julian,1.993970413,1.118597776,3.112568189
Peyton,0.518314568,2.198170514,2.716485082
Eli-vintage,0.777287384,2.521236678,53.29852406
Maria-vintage,2.536582188,1.395819722,53.93240191
Levi,2.574199568,3.615724763,6.189924331
Grace,2.039980388,2.185019016,4.224999404
Isaiah,3.089995136,1.987931343,5.077926479
Adeline-damaged,0.482851575,1.602253344,-47.91489508
Landon,3.684150088,3.743263363,7.427413451
Elena-vintage,0.14168562,2.836708296,52.97839392
David-damaged,1.977238808,2.356697233,-45.66606396
Anna-vintage,3.448590899,0.04843385,53.49702475
Christian,2.012444211,4.271748147,6.284192357
Victoria-vintage,3.326593855,2.414654033,55.74124789
Andrew,3.171833964,1.651627399,4.823461363
Camilla-vintage,1.076026592,0.553541789,51.62956838
Brayden-vintage,2.598019061,0.710307401,53.30832646
Lillian,1.017625534,4.452837819,5.470463352
John-vintage,2.011295517,2.063711625,54.07500714
Natalie-damaged,0.923834074,1.298762634,-47.77740329
Lincoln,0.486275738,4.417676544,4.903952282
Sophia-vintage,3.344582249,2.042075636,55.38665788
Jackson-vintage,0.358691852,0.520527433,50.87921928
Emma,3.404101457,3.883899954,7.288001411
Aiden,1.31878595,1.29629265,2.615078599
Olivia-damaged,3.720016338,1.990138986,-44.28984468
Lucas-damaged,1.676866788,4.734796455,-43.58833676
Ava-damaged,3.733549157,4.267993199,-41.99845764
Liam-damaged,0.558871596,2.737897507,-46.7032309
Mia-vintage,3.926313023,2.933865249,56.86017827
Noah,0.029141559,3.464852645,3.493994204
Isabella-vintage,0.512297017,4.48219817,54.99449519
Ethan,2.041841031,2.485910899,4.52775193
Riley,1.090094652,3.143625709,4.233720361
Mason,0.034190867,3.741160778,3.775351645
Aria-vintage,3.207630338,3.431185891,56.63881623
Caden-vintage,2.893463752,0.452014233,53.34547798
Zoe,1.78807212,3.296274949,5.084347069
Oliver,1.911494566,4.401743381,6.313237948
Charlotte,3.45274564,0.241352535,3.694098175
Elijah-vintage,3.571994297,3.904680396,57.47667469
Lily,2.858777776,2.443581766,5.302359542
Grayson-vintage,2.034133953,1.186442707,53.22057666
Layla,2.334112993,4.050880829,6.384993822
Jacob-damaged,0.414570822,1.046035649,-48.53939353
Amelia,1.53649488,2.924052126,4.460547006
Michael,1.736710824,1.414866516,3.151577339
Emily-damaged,1.306139991,2.062786094,-46.63107391
Benjamin-damaged,2.625497492,4.631148493,-42.74335402
Madelyn-vintage,2.909809428,3.888524156,56.79833358
Carter,0.510571615,4.008967353,4.519538968
Aubrey-vintage,1.182621739,2.991946286,54.17456803
James-vintage,3.226626866,4.70027787,57.92690474
Adalyn-damaged,0.72235561,3.471335911,-45.80630848
Jayden-vintage,1.784765981,1.154052145,52.93881813
Madison-damaged,3.519584267,3.118727627,-43.36168811
Logan-vintage,2.235815606,2.594134253,54.82994986
Chloe,2.145092571,3.079178884,5.224271455
Alexander-damaged,1.834964943,0.736059593,-47.42897546
Harper-vintage,1.05817885,3.191384913,54.24956376
Caleb-vintage,2.83515993,4.162904634,56.99806456
Abigail-damaged,0.096690315,4.01034439,-45.89296529
Ryan-damaged,1.889665755,4.400602368,-43.70973188
Aaliyah-damaged,2.07128469,1.745798738,-46.18291657
Luke,2.504315526,3.415305078,5.919620604
