date,python,r
2004-01,19,5
2004-02,20,5
2004-03,19,4
2004-04,19,5
2004-05,18,4
2004-06,18,5
2004-07,18,4
2004-08,19,4
2004-09,18,4
2004-10,18,4
2004-11,17,5
2004-12,16,4
2005-01,17,4
2005-02,17,5
2005-03,17,5
2005-04,16,5
2005-05,19,4
2005-06,20,4
2005-07,19,4
2005-08,18,4
2005-09,18,5
2005-10,19,5
2005-11,19,4
2005-12,17,4
2006-01,16,4
2006-02,17,4
2006-03,17,5
2006-04,16,4
2006-05,16,4
2006-06,16,5
2006-07,17,4
2006-08,18,3
2006-09,17,4
2006-10,18,4
2006-11,16,5
2006-12,15,3
2007-01,16,4
2007-02,17,4
2007-03,17,5
2007-04,16,4
2007-05,17,4
2007-06,17,5
2007-07,17,4
2007-08,17,4
2007-09,16,4
2007-10,16,4
2007-11,17,4
2007-12,16,4
2008-01,15,4
2008-02,16,4
2008-03,16,4
2008-04,17,5
2008-05,17,4
2008-06,16,4
2008-07,17,4
2008-08,16,4
2008-09,17,4
2008-10,17,4
2008-11,16,4
2008-12,16,4
2009-01,15,5
2009-02,18,5
2009-03,18,5
2009-04,18,5
2009-05,17,5
2009-06,16,5
2009-07,17,5
2009-08,16,5
2009-09,17,5
2009-10,17,5
2009-11,17,6
2009-12,16,5
2010-01,16,5
2010-02,16,5
2010-03,17,5
2010-04,17,5
2010-05,17,5
2010-06,16,5
2010-07,15,5
2010-08,15,5
2010-09,15,5
2010-10,16,5
2010-11,17,6
2010-12,15,5
2011-01,14,5
2011-02,16,6
2011-03,17,6
2011-04,16,6
2011-05,32,8
2011-06,50,10
2011-07,49,9
2011-08,49,10
2011-09,50,11
2011-10,49,11
2011-11,51,12
2011-12,45,10
2012-01,45,11
2012-02,52,11
2012-03,54,11
2012-04,52,11
2012-05,51,11
2012-06,51,11
2012-07,51,11
2012-08,51,10
2012-09,53,11
2012-10,57,12
2012-11,53,11
2012-12,47,11
2013-01,51,11
2013-02,57,12
2013-03,58,12
2013-04,60,12
2013-05,56,12
2013-06,55,11
2013-07,56,11
2013-08,53,11
2013-09,58,12
2013-10,64,13
2013-11,62,14
2013-12,56,11
2014-01,59,12
2014-02,64,13
2014-03,64,13
2014-04,64,15
2014-05,62,14
2014-06,58,13
2014-07,58,13
2014-08,57,13
2014-09,63,14
2014-10,66,15
2014-11,65,15
2014-12,59,14
2015-01,60,14
2015-02,67,16
2015-03,68,16
2015-04,69,17
2015-05,66,15
2015-06,67,16
2015-07,67,16
2015-08,64,15
2015-09,72,16
2015-10,74,17
2015-11,74,17
2015-12,69,15
2016-01,73,16
2016-02,76,17
2016-03,79,18
2016-04,80,18
2016-05,77,17
2016-06,78,17
2016-07,75,16
2016-08,77,16
2016-09,86,17
2016-10,87,18
2016-11,89,19
2016-12,80,17
2017-01,85,17
2017-02,97,19
2017-03,100,20
2017-04,97,20
2017-05,98,20
