id,name
41,zubat
42,golbat
54,psyduck
55,golduck
79,slowpoke
86,seel
90,shellder
116,horsea
87,dewgong
117,seadra
120,staryu
80,slowbro
60,poliwag
118,goldeen
129,magikarp
16,pidgey
43,oddish
44,gloom
48,venonat
72,tentacool
98,krabby
61,poliwhirl
119,seaking
35,clefairy
46,paras
74,geodude
66,machop
95,onix
19,rattata
13,weedle
21,spearow
39,jigglypuff
23,ekans
56,mankey
58,growlithe
100,voltorb
96,drowzee
132,ditto
17,pidgeotto
20,raticate
84,doduo
22,fearow
114,tangela
29,nidoran-f
32,nidoran-m
14,kakuna
63,abra
10,caterpie
11,metapod
50,diglett
51,dugtrio
25,pikachu
24,arbok
26,raichu
47,parasect
49,venomoth
64,kadabra
82,magneton
85,dodrio
97,hypno
99,kingler
40,wigglytuff
101,electrode
105,marowak
112,rhydon
113,chansey
81,magnemite
125,electabuzz
67,machoke
75,graveler
92,gastly
93,haunter
104,cubone
77,ponyta
88,grimer
89,muk
109,koffing
110,weezing
30,nidorina
33,nidorino
102,exeggcute
111,rhyhorn
123,scyther
147,dratini
115,kangaskhan
128,tauros
